file,sequence_id,read_count,read_mean_length,read_abundance
SI041_1_1_1.fastq,NC_075417.1,2627,150.97944423296536,0.002630830489192264
SI041_1_1_1.fastq,NZ_LR134365.1,177,150.98305084745763,0.000177258087775802
SI041_1_1_1.fastq,CP097095.1,1873,150.9749065670048,0.001875731064429810
SI041_1_1_1.fastq,NC_038311.1,6478,150.98147576412472,0.006487445720969732
SI041_1_1_1.fastq,NZ_CP053939.1,780,150.85897435897436,0.000781137335961159
SI041_1_1_1.fastq,NZ_CP009227.1,12406,150.97646300177334,0.012424089474274544
SI041_1_1_1.fastq,NZ_CP072390.1,557,150.9874326750449,0.000557812174526110
SI041_1_1_1.fastq,NZ_CP029207.1,618,150.98867313915858,0.000618901120030765
SI041_1_1_1.fastq,NZ_CP036514.1,848,150.95872641509433,0.000849236488327004
SI041_1_1_1.fastq,NZ_CP120507.1,1191,150.98320738874895,0.001192736624525309
SI041_1_1_1.fastq,NZ_LS483444.1,4733,150.82400169025988,0.004739901296287394
SI041_1_1_1.fastq,NZ_CP031257.1,105,150.96190476190475,0.000105153102917848
SI041_1_1_1.fastq,NZ_CP059045.1,1031,150.98254122211446,0.001032503324840969
SI041_1_1_1.fastq,AM902716.1,1367,150.93928310168252,0.001368993254178083
SI041_1_1_1.fastq,NZ_CP102197.1,123,150.9512195121951,0.000123179349132337
SI041_1_1_1.fastq,NZ_CP010106.1,541,150.99445471349352,0.000541788844557676
SI041_1_1_1.fastq,NZ_CP089216.1,1135,150.97356828193833,0.001136654969635790
SI041_1_1_1.fastq,NZ_CP071265.1,187,150.97860962566844,0.000187272669006073
SI041_1_1_1.fastq,ACIL03000013.1,1964,150.9816700610998,0.001966863753625279
SI041_1_1_1.fastq,NC_013203.1,106,150.9811320754717,0.000106154561040876
SI041_1_1_1.fastq,NC_019960.1,74,150.97297297297297,0.000074107901104007
SI041_1_1_1.fastq,NZ_CP058970.1,551,150.98366606170597,0.000551803425787947
SI041_1_1_1.fastq,NZ_CP031243.1,692,150.95375722543352,0.000693009021134772
SI041_1_1_1.fastq,NZ_CP101528.1,540,150.98333333333332,0.000540787386434649
SI041_1_1_1.fastq,NZ_CP010310.2,639,150.88888888888889,0.000639931740614334
SI041_1_1_1.fastq,NZ_CP079193.1,814,150.94963144963145,0.000815186912144082
SI041_1_1_1.fastq,NZ_UGPB01000001.1,1340,150.97761194029852,0.001341953884856351
SI041_1_1_1.fastq,NZ_AP019831.1,534,150.9868913857678,0.000534778637696486
SI041_1_1_1.fastq,NZ_CP132214.1,332,150.9789156626506,0.000332484096845006
SI041_1_1_1.fastq,NZ_CP040423.1,151,150.90728476821192,0.000151220176577096
SI041_1_1_1.fastq,NC_038307.1,1213,150.98351195383347,0.001214768703231906
SI041_1_1_1.fastq,NZ_CAMNMG010000001.1,520,150.98461538461538,0.000520758223974106
SI041_1_1_1.fastq,NZ_CP046320.1,2779,150.9834472831954,0.002783052123892388
SI041_1_1_1.fastq,NZ_CP028435.1,1038,150.97784200385357,0.001039513531702158
SI041_1_1_1.fastq,NZ_CP033459.1,208,150.97596153846155,0.000208303289589643
SI041_1_1_1.fastq,NZ_CP019962.1,1322,150.94251134644477,0.001323927638641863
